brand_name,model_name,submodel_name,car_name,year_manufacture,purchase_price,purchase_date,color,province_id,employee_id,mileage,condition,car_front,car_side,car_interior,car_main,car_bottom
Toyota,Corolla,Corolla Altis,Toyota Corolla Altis,2020,750000,2020-03-15,White,1,1,45200,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,Corolla,Corolla LE,Toyota Corolla LE,2021,770000,2021-05-10,Black,2,2,38500,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,Corolla,Corolla G,Toyota Corolla G,2019,730000,2019-07-20,Silver,3,3,61800,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,Camry,Camry SE,Toyota Camry SE,2020,1200000,2020-01-25,Blue,1,1,70200,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,Camry,Camry XLE,Toyota Camry XLE,2021,1250000,2021-06-12,Gray,2,2,32000,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,Camry,Camry Hybrid,Toyota Camry Hybrid,2022,1350000,2022-02-18,White,3,3,25000,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,RAV4,RAV4 LE,Toyota RAV4 LE,2019,1100000,2019-11-05,Red,1,1,87000,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,RAV4,RAV4 XLE,Toyota RAV4 XLE,2020,1150000,2020-08-22,Black,2,2,64000,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Toyota,RAV4,RAV4 Limited,Toyota RAV4 Limited,2021,1250000,2021-09-30,White,3,3,54000,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Civic,Civic RS,Honda Civic RS,2020,900000,2020-04-15,Red,1,1,33000,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Civic,Civic EX,Honda Civic EX,2021,920000,2021-05-25,Black,2,2,47000,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Civic,Civic LX,Honda Civic LX,2019,880000,2019-06-18,Blue,3,3,99000,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Accord,Accord LX,Honda Accord LX,2020,1300000,2020-07-10,White,1,1,58000,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Accord,Accord Sport,Honda Accord Sport,2021,1350000,2021-08-12,Gray,2,2,43000,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,Accord,Accord EX-L,Honda Accord EX-L,2022,1400000,2022-03-05,Black,3,3,31000,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,CR-V,CR-V LX,Honda CR-V LX,2019,1000000,2019-09-14,Blue,1,1,76000,ดี,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,CR-V,CR-V EX,Honda CR-V EX,2020,1050000,2020-10-20,White,2,2,69000,ปานกลาง,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
Honda,CR-V,CR-V Touring,Honda CR-V Touring,2021,1150000,2021-11-18,Black,3,3,39000,แย่,car1_front.jpg,car1_side.jpg,car1_interior.jpg,car1_main.jpg,car1_bottom.jpg
